airline,date_of_journey,source,destination,dep_time,arrival_time,duration,total_stops,additional_info,price
Indigo,2019-05-21,Delhi,Cochin,05:35:00,08:50:00,195,0.0,No Info,5601
Jet Airways,2019-05-21,Kolkata,Banglore,14:05:00,22:35:00,510,1.0,No Info,14781
Jet Airways,2019-05-01,Kolkata,Banglore,18:55:00,04:40:00,585,1.0,In-flight meal not included,8586
Multiple Carriers,2019-03-27,Delhi,Cochin,08:55:00,15:30:00,395,1.0,No Info,7845
Air India,2019-03-18,Delhi,Cochin,05:10:00,08:00:00,170,0.0,No Info,5674
Jet Airways,2019-06-27,Delhi,Cochin,21:50:00,19:00:00,1270,1.0,In-flight meal not included,10262
Spicejet,2019-06-01,Mumbai,Hyderabad,22:45:00,00:15:00,90,0.0,No check-in baggage included,1965
Multiple Carriers,2019-03-27,Delhi,Cochin,11:40:00,21:00:00,560,1.0,No Info,6637
Spicejet,2019-05-03,Mumbai,Hyderabad,13:15:00,14:45:00,90,0.0,No check-in baggage included,1965
Vistara,2019-05-06,Banglore,Delhi,07:00:00,09:40:00,160,0.0,No Info,4668
Jet Airways,2019-06-01,Delhi,Cochin,15:00:00,19:00:00,1680,1.0,No Info,14714
Jet Airways,2019-06-12,Kolkata,Banglore,06:30:00,04:40:00,1330,1.0,In-flight meal not included,7594
Jet Airways,2019-04-12,Banglore,Delhi,17:45:00,20:45:00,180,0.0,No Info,7229
Indigo,2019-05-12,Kolkata,Banglore,19:35:00,23:15:00,220,1.0,No Info,5276
Jet Airways,2019-05-18,Delhi,Cochin,14:00:00,12:35:00,1355,1.0,In-flight meal not included,12373
Jet Airways,2019-06-06,Kolkata,Banglore,18:55:00,04:40:00,585,1.0,No Info,13374
Vistara,2019-05-09,Kolkata,Banglore,07:10:00,09:05:00,1555,1.0,No Info,9187
Jet Airways,2019-06-09,Banglore,Delhi,08:20:00,11:20:00,180,0.0,No Info,8016
Air India,2019-03-12,Banglore,New Delhi,17:25:00,18:05:00,1480,3.0,No Info,13387
Air India,2019-03-03,Banglore,New Delhi,10:30:00,21:25:00,655,2.0,No Info,11003
Air Asia,2019-06-06,Delhi,Cochin,16:45:00,22:25:00,340,1.0,No Info,11410
Jet Airways,2019-05-06,Kolkata,Banglore,09:35:00,21:05:00,690,1.0,In-flight meal not included,10703
Jet Airways,2019-05-15,Kolkata,Banglore,17:00:00,14:25:00,1285,1.0,In-flight meal not included,9314
Air India,2019-03-03,Banglore,New Delhi,05:50:00,12:55:00,425,1.0,No Info,12389
Indigo,2019-05-03,Kolkata,Banglore,20:20:00,22:55:00,155,0.0,No Info,4804
Air India,2019-06-15,Delhi,Cochin,13:15:00,09:25:00,1210,2.0,No Info,8839
Indigo,2019-05-27,Banglore,Delhi,00:30:00,03:25:00,175,0.0,No Info,3419
Jet Airways,2019-06-09,Delhi,Cochin,09:40:00,19:00:00,560,2.0,No Info,13014
Multiple Carriers,2019-05-27,Delhi,Cochin,09:45:00,16:10:00,385,1.0,No Info,10486
Jet Airways,2019-06-06,Kolkata,Banglore,06:30:00,04:40:00,1330,1.0,No Info,13731
Jet Airways,2019-05-18,Delhi,Cochin,17:30:00,04:25:00,655,1.0,In-flight meal not included,12373
Spicejet,2019-05-09,Mumbai,Hyderabad,05:45:00,07:15:00,90,0.0,No check-in baggage included,1965
Indigo,2019-03-06,Chennai,Kolkata,07:55:00,10:15:00,140,0.0,No Info,7295
Indigo,2019-06-24,Banglore,Delhi,18:15:00,21:20:00,185,0.0,No Info,4823
Air India,2019-03-06,Mumbai,Hyderabad,16:00:00,23:45:00,465,1.0,No Info,11678
Indigo,2019-05-27,Delhi,Cochin,09:15:00,01:30:00,975,1.0,No Info,6628
Multiple Carriers,2019-03-21,Delhi,Cochin,17:30:00,01:35:00,485,1.0,No Info,13542
Jet Airways,2019-05-18,Kolkata,Banglore,08:25:00,19:50:00,685,1.0,In-flight meal not included,10844
Indigo,2019-03-09,Banglore,New Delhi,18:25:00,21:20:00,175,0.0,No Info,6860
Air India,2019-03-06,Delhi,Cochin,05:10:00,08:00:00,170,0.0,No Info,6881
Multiple Carriers,2019-06-03,Delhi,Cochin,07:30:00,19:15:00,705,1.0,No Info,7354
Jet Airways,2019-04-01,Kolkata,Banglore,21:10:00,08:15:00,665,1.0,In-flight meal not included,8849
Jet Airways,2019-05-21,Delhi,Cochin,19:15:00,12:35:00,1040,1.0,In-flight meal not included,12898
Jet Airways,2019-05-12,Kolkata,Banglore,21:10:00,04:40:00,450,1.0,In-flight meal not included,8586
Air India,2019-03-24,Mumbai,Hyderabad,13:55:00,15:25:00,90,0.0,No Info,2575
Jet Airways,2019-05-06,Banglore,Delhi,17:45:00,20:45:00,180,0.0,In-flight meal not included,4030
Indigo,2019-06-12,Delhi,Cochin,17:05:00,22:25:00,320,1.0,No Info,6147
Jet Airways,2019-05-12,Kolkata,Banglore,20:25:00,10:55:00,870,1.0,No Info,14151
Jet Airways,2019-05-18,Banglore,Delhi,11:10:00,14:05:00,175,0.0,In-flight meal not included,5198
Multiple Carriers,2019-03-06,Delhi,Cochin,09:45:00,21:20:00,695,2.0,No Info,10444
Multiple Carriers,2019-06-03,Delhi,Cochin,08:30:00,19:00:00,630,1.0,No Info,11200
Multiple Carriers,2019-06-09,Delhi,Cochin,11:25:00,19:00:00,455,1.0,No Info,11200
Air India,2019-05-24,Banglore,Delhi,21:05:00,23:55:00,170,0.0,No Info,5228
Indigo,2019-05-27,Delhi,Cochin,07:30:00,21:00:00,810,1.0,No Info,6526
Jet Airways,2019-06-03,Delhi,Cochin,18:15:00,04:25:00,610,1.0,In-flight meal not included,10262
Air India,2019-05-09,Delhi,Cochin,12:55:00,19:15:00,1820,2.0,No Info,11596
Jet Airways,2019-06-12,Mumbai,Hyderabad,07:05:00,08:30:00,85,0.0,No Info,8040
Jet Airways,2019-05-15,Kolkata,Banglore,20:00:00,04:40:00,520,1.0,In-flight meal not included,8586
Jet Airways,2019-06-03,Delhi,Cochin,05:30:00,19:00:00,810,2.0,No Info,13292
Air India,2019-06-12,Kolkata,Banglore,09:50:00,23:15:00,805,2.0,No Info,14960
Multiple Carriers,2019-06-27,Delhi,Cochin,07:30:00,19:00:00,690,1.0,No Info,10877
Air India,2019-04-27,Kolkata,Banglore,20:45:00,23:20:00,155,0.0,No Info,4145
Multiple Carriers,2019-06-27,Delhi,Cochin,11:25:00,19:15:00,470,1.0,No Info,7155
Jet Airways,2019-05-24,Kolkata,Banglore,14:05:00,23:35:00,570,1.0,In-flight meal not included,10844
Spicejet,2019-04-27,Kolkata,Banglore,14:55:00,17:25:00,150,0.0,No check-in baggage included,3841
Jet Airways,2019-05-01,Kolkata,Banglore,14:05:00,08:15:00,1090,1.0,In-flight meal not included,8586
Jet Airways,2019-05-21,Banglore,Delhi,06:00:00,08:45:00,165,0.0,No Info,7229
Jet Airways,2019-05-18,Kolkata,Banglore,17:00:00,19:10:00,1570,1.0,No Info,14151
Indigo,2019-05-06,Banglore,Delhi,20:00:00,22:50:00,170,0.0,No Info,4823
Air India,2019-05-03,Banglore,Delhi,21:05:00,23:55:00,170,0.0,No Info,6121
Jet Airways,2019-06-09,Delhi,Cochin,15:00:00,19:00:00,1680,1.0,In-flight meal not included,10262
Spicejet,2019-03-18,Banglore,New Delhi,20:30:00,23:20:00,170,0.0,No Info,4377
Jet Airways,2019-05-18,Kolkata,Banglore,05:45:00,08:15:00,1590,1.0,No Info,13941
Indigo,2019-06-12,Delhi,Cochin,17:10:00,01:30:00,500,1.0,No Info,5883
Spicejet,2019-06-01,Banglore,Delhi,09:30:00,12:20:00,170,0.0,No Info,3971
Jet Airways,2019-03-21,Delhi,Cochin,10:45:00,18:50:00,1925,2.0,In-flight meal not included,7791
Indigo,2019-03-09,Chennai,Kolkata,19:35:00,21:55:00,140,0.0,No Info,6297
Indigo,2019-06-15,Delhi,Cochin,18:35:00,01:30:00,415,1.0,No Info,5883
Indigo,2019-06-24,Banglore,Delhi,08:30:00,11:20:00,170,0.0,No Info,4823
Spicejet,2019-05-21,Chennai,Kolkata,09:45:00,12:00:00,135,0.0,No check-in baggage included,3543
Indigo,2019-03-27,Delhi,Cochin,02:00:00,07:45:00,345,1.0,No Info,5733
Jet Airways,2019-06-09,Delhi,Cochin,22:50:00,12:35:00,825,1.0,In-flight meal not included,10262
Air India,2019-06-12,Kolkata,Banglore,09:25:00,13:45:00,1700,2.0,No Info,11542
Jet Airways,2019-03-06,Banglore,New Delhi,14:05:00,11:25:00,1280,1.0,No Info,15025
Air Asia,2019-04-01,Kolkata,Banglore,19:55:00,22:25:00,150,0.0,No Info,3807
Jet Airways,2019-06-06,Kolkata,Banglore,20:25:00,09:45:00,800,1.0,In-flight meal not included,10539
Air India,2019-06-09,Delhi,Cochin,10:55:00,19:15:00,500,2.0,No Info,12383
Jet Airways,2019-03-01,Banglore,New Delhi,11:40:00,07:40:00,1200,1.0,No Info,22270
Indigo,2019-03-06,Delhi,Cochin,08:25:00,21:00:00,755,1.0,No Info,14871
Indigo,2019-04-24,Delhi,Cochin,07:35:00,12:10:00,275,1.0,No Info,5073
Air Asia,2019-03-12,Kolkata,Banglore,19:35:00,22:05:00,150,0.0,No Info,4384
Jet Airways,2019-05-27,Delhi,Cochin,18:15:00,12:35:00,1100,1.0,In-flight meal not included,12898
Multiple Carriers,2019-05-27,Delhi,Cochin,04:55:00,19:00:00,845,1.0,No Info,11573
Jet Airways,2019-06-12,Kolkata,Banglore,09:35:00,23:35:00,840,1.0,No Info,12692
Vistara,2019-04-27,Delhi,Cochin,14:40:00,17:50:00,190,0.0,No Info,6216
Air Asia,2019-04-27,Delhi,Cochin,20:45:00,07:10:00,625,1.0,No Info,6451
Jet Airways,2019-03-06,Banglore,New Delhi,21:25:00,07:40:00,615,1.0,No Info,16736
Air India,2019-03-27,Delhi,Cochin,07:00:00,19:15:00,735,1.0,No Info,6377
Spicejet,2019-05-27,Chennai,Kolkata,09:45:00,12:00:00,135,0.0,No check-in baggage included,3543
Jet Airways,2019-05-12,Kolkata,Banglore,17:00:00,10:55:00,1075,1.0,No Info,14151
Indigo,2019-04-27,Delhi,Cochin,05:05:00,12:10:00,425,1.0,No Info,7160
Air India,2019-05-24,Kolkata,Banglore,05:50:00,20:25:00,875,2.0,No Info,11201
Air Asia,2019-03-01,Banglore,New Delhi,05:50:00,08:40:00,170,0.0,No Info,10715
Air India,2019-03-27,Delhi,Cochin,09:45:00,09:25:00,1420,1.0,No Info,5957
Spicejet,2019-03-24,Banglore,New Delhi,09:35:00,12:30:00,175,0.0,No check-in baggage included,3873
Indigo,2019-05-09,Delhi,Cochin,15:10:00,20:00:00,290,1.0,No Info,6147
Jet Airways,2019-05-27,Delhi,Cochin,21:50:00,12:35:00,885,1.0,In-flight meal not included,12898
Jet Airways,2019-05-21,Banglore,Delhi,19:50:00,22:50:00,180,0.0,In-flight meal not included,4030
Indigo,2019-05-06,Mumbai,Hyderabad,21:20:00,22:50:00,90,0.0,No Info,2227
Indigo,2019-06-03,Mumbai,Hyderabad,19:05:00,20:35:00,90,0.0,No Info,2754
Jet Airways,2019-06-01,Delhi,Cochin,02:15:00,12:35:00,620,1.0,In-flight meal not included,10262
Jet Airways,2019-06-03,Delhi,Cochin,20:55:00,12:35:00,940,1.0,No Info,14714
Goair,2019-03-27,Delhi,Cochin,10:25:00,19:20:00,535,1.0,No Info,5281
Vistara,2019-04-01,Kolkata,Banglore,20:20:00,23:25:00,1625,1.0,No Info,7927
Air India,2019-03-15,Banglore,New Delhi,22:00:00,13:20:00,920,1.0,No Info,8845
Spicejet,2019-04-27,Banglore,Delhi,21:10:00,00:05:00,175,0.0,No Info,3971
Air Asia,2019-05-03,Banglore,Delhi,23:55:00,02:45:00,170,0.0,No Info,4483
Jet Airways,2019-05-15,Kolkata,Banglore,10:20:00,17:35:00,435,1.0,No Info,8355
Jet Airways,2019-03-03,Banglore,New Delhi,05:45:00,05:05:00,1400,1.0,In-flight meal not included,11087
Jet Airways,2019-03-15,Mumbai,Hyderabad,10:20:00,11:50:00,90,0.0,No Info,8040
Air India,2019-06-01,Delhi,Cochin,17:15:00,19:15:00,1560,2.0,No Info,12970
Spicejet,2019-05-12,Banglore,Delhi,09:30:00,12:20:00,170,0.0,No Info,4423
Multiple Carriers,2019-05-18,Delhi,Cochin,11:40:00,19:00:00,440,1.0,No Info,10529
Jet Airways,2019-06-24,Delhi,Cochin,23:05:00,04:25:00,1760,2.0,No Info,12819
Indigo,2019-05-27,Kolkata,Banglore,11:30:00,14:05:00,155,0.0,No Info,5224
Goair,2019-05-01,Banglore,Delhi,11:40:00,14:30:00,170,0.0,No Info,4340
Jet Airways,2019-04-06,Delhi,Cochin,07:05:00,19:00:00,715,1.0,In-flight meal not included,5406
Jet Airways,2019-06-03,Banglore,Delhi,17:45:00,20:45:00,180,0.0,In-flight meal not included,6478
Spicejet,2019-05-09,Chennai,Kolkata,09:45:00,12:00:00,135,0.0,No Info,3597
Jet Airways,2019-03-27,Delhi,Cochin,18:15:00,04:25:00,610,1.0,In-flight meal not included,6540
Indigo,2019-05-01,Banglore,Delhi,23:30:00,02:20:00,170,0.0,No Info,4591
Multiple Carriers,2019-03-21,Delhi,Cochin,07:30:00,18:50:00,680,1.0,No Info,14629
Jet Airways,2019-03-27,Delhi,Cochin,11:30:00,04:25:00,1015,1.0,No Info,12242
Vistara,2019-04-18,Banglore,Delhi,19:30:00,22:15:00,165,0.0,No Info,5823
Air Asia,2019-05-18,Banglore,Delhi,04:55:00,07:45:00,170,0.0,No Info,4282
Air India,2019-06-12,Delhi,Cochin,09:45:00,08:15:00,1350,1.0,No Info,8991
Air India,2019-05-01,Kolkata,Banglore,05:50:00,12:30:00,1840,2.0,No Info,12723
Air Asia,2019-03-21,Delhi,Cochin,20:10:00,07:10:00,660,1.0,No Info,6151
Indigo,2019-05-09,Delhi,Cochin,16:00:00,01:30:00,570,1.0,No Info,9274
Jet Airways,2019-05-24,Delhi,Cochin,19:10:00,19:00:00,1430,2.0,No Info,15129
Spicejet,2019-03-27,Chennai,Kolkata,08:20:00,10:35:00,135,0.0,No Info,3384
Jet Airways,2019-03-24,Kolkata,Banglore,08:25:00,23:25:00,900,1.0,In-flight meal not included,10031
Indigo,2019-03-09,Chennai,Kolkata,22:05:00,00:25:00,140,0.0,No Info,6297
Indigo,2019-06-09,Delhi,Cochin,15:10:00,20:00:00,290,1.0,No Info,7060
Spicejet,2019-04-15,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No Info,3873
Spicejet,2019-06-03,Kolkata,Banglore,22:20:00,00:40:00,140,0.0,No check-in baggage included,3841
Jet Airways,2019-04-01,Banglore,Delhi,06:00:00,08:45:00,165,0.0,In-flight meal not included,4544
Jet Airways,2019-04-06,Delhi,Cochin,22:50:00,12:35:00,825,1.0,In-flight meal not included,5177
Jet Airways,2019-04-24,Banglore,Delhi,07:10:00,10:10:00,180,0.0,No Info,7229
Air India,2019-06-15,Delhi,Cochin,06:50:00,07:40:00,1490,2.0,No Info,13591
Air India,2019-06-01,Delhi,Cochin,12:00:00,07:40:00,1180,2.0,No Info,10966
Jet Airways,2019-05-24,Kolkata,Banglore,20:00:00,23:35:00,1655,1.0,In-flight meal not included,10844
Multiple Carriers,2019-05-27,Delhi,Cochin,18:15:00,01:30:00,435,1.0,No Info,13377
Indigo,2019-06-03,Mumbai,Hyderabad,06:25:00,07:55:00,90,0.0,No Info,4049
Jet Airways,2019-05-21,Kolkata,Banglore,14:05:00,04:40:00,875,1.0,In-flight meal not included,9663
Multiple Carriers,2019-05-27,Delhi,Cochin,11:40:00,19:15:00,455,1.0,No Info,9316
Indigo,2019-03-09,Chennai,Kolkata,11:35:00,14:00:00,145,0.0,No Info,6297
Jet Airways,2019-03-06,Delhi,Cochin,02:15:00,18:50:00,995,1.0,No Info,17024
Multiple Carriers,2019-04-09,Delhi,Cochin,08:00:00,19:00:00,660,1.0,No Info,11142
Vistara,2019-06-09,Kolkata,Banglore,07:10:00,10:45:00,1655,1.0,No Info,9397
Indigo,2019-04-01,Mumbai,Hyderabad,21:20:00,22:50:00,90,0.0,No Info,2227
Jet Airways,2019-03-06,Delhi,Cochin,09:55:00,04:25:00,1110,1.0,No Info,15764
Air India,2019-06-09,Kolkata,Banglore,05:50:00,08:55:00,1625,2.0,No Info,12723
Jet Airways,2019-06-03,Delhi,Cochin,17:30:00,12:35:00,1145,1.0,No Info,14714
Indigo,2019-04-03,Kolkata,Banglore,06:15:00,10:30:00,255,1.0,No Info,4226
Indigo,2019-03-27,Delhi,Cochin,02:35:00,08:30:00,355,1.0,No Info,7731
Jet Airways,2019-03-06,Banglore,New Delhi,08:55:00,05:05:00,1210,1.0,No Info,16736
Vistara,2019-05-24,Kolkata,Banglore,07:10:00,22:40:00,930,1.0,No Info,9397
Jet Airways,2019-06-12,Delhi,Cochin,14:35:00,12:35:00,1320,2.0,In-flight meal not included,10919
Air India,2019-04-06,Banglore,Delhi,17:00:00,19:45:00,165,0.0,No Info,4651
Jet Airways,2019-06-01,Banglore,Delhi,07:10:00,10:10:00,180,0.0,In-flight meal not included,7229
Air India,2019-03-24,Banglore,New Delhi,21:10:00,23:55:00,165,0.0,No Info,4441
Air India,2019-05-27,Delhi,Cochin,13:00:00,19:15:00,375,1.0,No Info,9719
Vistara,2019-05-12,Banglore,Delhi,09:45:00,12:35:00,170,0.0,No Info,4668
Indigo,2019-05-06,Delhi,Cochin,18:35:00,01:30:00,415,1.0,No Info,7191
Multiple Carriers,2019-04-09,Delhi,Cochin,13:00:00,21:00:00,480,1.0,No Info,12537
Vistara,2019-05-24,Kolkata,Banglore,20:20:00,23:25:00,1625,1.0,No Info,9345
Jet Airways,2019-06-12,Kolkata,Banglore,09:35:00,22:05:00,750,1.0,No Info,12692
Multiple Carriers,2019-05-21,Delhi,Cochin,07:30:00,19:00:00,690,1.0,No Info,9794
Jet Airways,2019-06-27,Delhi,Cochin,14:35:00,12:35:00,1320,2.0,In-flight meal not included,10919
Jet Airways,2019-03-06,Banglore,New Delhi,05:45:00,23:00:00,1035,1.0,No Info,16736
Vistara,2019-03-21,Delhi,Cochin,06:00:00,09:10:00,190,0.0,No Info,6688
Air India,2019-03-15,Banglore,New Delhi,08:50:00,15:15:00,385,1.0,No Info,8714
Spicejet,2019-03-18,Banglore,New Delhi,05:45:00,08:35:00,170,0.0,No check-in baggage included,4273
Jet Airways,2019-05-06,Kolkata,Banglore,18:55:00,08:15:00,800,1.0,In-flight meal not included,7757
Indigo,2019-06-18,Banglore,Delhi,18:55:00,21:50:00,175,0.0,No Info,4823
Jet Airways,2019-03-06,Delhi,Cochin,19:45:00,19:45:00,1440,1.0,No Info,17024
Jet Airways,2019-03-15,Banglore,New Delhi,05:45:00,10:45:00,300,1.0,In-flight meal not included,9134
Jet Airways,2019-03-27,Delhi,Cochin,19:10:00,19:45:00,1475,2.0,In-flight meal not included,8882
Spicejet,2019-04-24,Banglore,Delhi,09:30:00,12:20:00,170,0.0,No Info,3971
Air India,2019-05-21,Kolkata,Banglore,12:00:00,21:50:00,590,2.0,No Info,10151
Multiple Carriers,2019-05-09,Delhi,Cochin,08:30:00,19:00:00,630,1.0,No Info,9627
Vistara,2019-05-09,Kolkata,Banglore,17:00:00,20:20:00,1640,1.0,No Info,9555
Jet Airways,2019-06-03,Delhi,Cochin,14:00:00,04:25:00,865,1.0,No Info,14714
Multiple Carriers,2019-03-21,Delhi,Cochin,07:00:00,13:20:00,380,1.0,No Info,9042
Jet Airways,2019-03-15,Banglore,New Delhi,05:45:00,11:25:00,340,1.0,In-flight meal not included,9134
Jet Airways,2019-05-24,Kolkata,Banglore,16:30:00,19:50:00,1640,1.0,In-flight meal not included,10844
Air India,2019-06-27,Delhi,Cochin,22:00:00,19:15:00,1275,2.0,No Info,10441
Goair,2019-03-03,Delhi,Cochin,14:10:00,19:20:00,310,1.0,No Info,22794
Air Asia,2019-06-06,Banglore,Delhi,04:55:00,07:45:00,170,0.0,No Info,4282
Air India,2019-03-03,Mumbai,Hyderabad,21:05:00,22:25:00,80,0.0,No Info,4937
Indigo,2019-06-15,Mumbai,Hyderabad,16:55:00,18:25:00,90,0.0,No Info,3175
Jet Airways,2019-06-27,Delhi,Cochin,19:10:00,19:00:00,1430,2.0,No Info,12819
Multiple Carriers,2019-03-09,Delhi,Cochin,06:50:00,21:00:00,850,1.0,In-flight meal not included,14086
Air India,2019-06-06,Delhi,Cochin,18:45:00,19:15:00,1470,2.0,No Info,13465
Multiple Carriers,2019-03-03,Delhi,Cochin,04:00:00,18:50:00,890,1.0,No Info,15237
Air India,2019-06-12,Kolkata,Banglore,16:50:00,07:55:00,905,1.0,No Info,8366
Vistara,2019-06-18,Banglore,Delhi,07:00:00,09:40:00,160,0.0,No Info,4668
Air Asia,2019-06-18,Kolkata,Banglore,19:55:00,22:25:00,150,0.0,No Info,3807
Air India,2019-06-24,Delhi,Cochin,05:15:00,19:15:00,2280,3.0,No Info,10493
Jet Airways,2019-03-27,Delhi,Cochin,19:15:00,19:45:00,1470,1.0,In-flight meal not included,5963
